NAMC_ID,NAMC_CODE,tamil_term,namc_term_word,short_definition,definition,section
517,HBA1.17,வளி பிளவை,Vaḷi Piḷavai,Ear carbuncle due to increasing vali,"It is characterised by tinnitus, headache. It is explained by increased vali. Among the seven udaarthadukkal,Cāram gets affected.",Siddha
518,HBA1.18,குருதி செவி பரு,Kuruti Cevi Paru,Boils with accumulation of blood around the ear due to increasing vali,"It is characterised by inflammatory papules in the ear, with blood collection. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected..",Siddha
519,HBA1.19,குன்றி செவி பரு,Kuṉṟi Cevi Paru,Abrus seed-like boils present around the ear due to increasing vali,"It is characterised by reddish papules like seeds of Abrus precatorius around the ear. This is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram ,seneer and Ūṉ gets affected.",Siddha
520,HBA1.20,விட செவி பரு,Viṭa Cevi Paru,Boils around the ear due to increasing vali,"It is characterised by papules in ear due to ototoxicity. It is explained by increase vali affecting Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,seneer and Ūṉ gets affected.",Siddha
521,HBB,அழல்,Aẕal,Disorders of ear classified under azhal,-,Siddha
522,HBB1.1,புள்ளி செவி குட்டம்,Puḷḷi Cevi Kuṭṭam,Hypopigmented papular lesions around the ear due to increasing azhal,It is characterised by hypopigmented papular lesions around the ear. It is explained by decreased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,Siddha
523,HBB1.2,செவி செங்குட்டம்,Cevi Ceṅkuṭṭam,Dermatitis around the ear due to increasing azhal,It is characterised by dermatitis around the ears. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,Siddha
524,HBB1.3,கர்ம செவி குட்டம்,Curam Cevi Cūlai,Otitis interna due to increasing azhal,It is characterised by ear ache due to skin infection in the middle ear.It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram gets affected.,Siddha
525,HBB1.4,குருதி செவி குட்டம்,Kuruti Cevi Kuṭṭam,Inner ear ulcer due to increasing azhal,It is characterised by ulcerated skin lesion which bleeds from the ear. It is explained by increased vali affecting Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,Siddha
526,HBB1.5,செந்நீர் செவி குட்டம்,Cennīr Cevi Kuṭṭam,Ear carbuncle due to increasing azhal,"It is characterised by skin lesion with abscess or carbuncle with bleeding from ear. It is explained by increased vali affects Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
527,HBB1.6,விட செவி குட்டம்,Viṭa Cevi Kuṭṭam,Dermatitis around the ear due to toxins by increasing azhal,It is characterised by skin lesion around the ear due to some toxins. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram is affected.,Siddha
528,HBB1.7,அனற் செவி பரு,Aṉaṟ Cevi Paru,Boils around the ear due to increasing azhal,"It is characterised by papular lesions and otitis. It is explained by increased Aẕal. Among the seven udarthadukkal Cāram, Cennīr and Ūṉ are affected.",Siddha
529,HBB1.8,செந்நீர் செவி எழுச்சை,Cennīr Cevi Eẕucci,Obstruction of the Eustachian tube by accumulation of blood due to increasing azhal,"It is characterised by obstruction in eustachian tube, otitis, otalgia, fissures with bleeding. It is explained by increased vali and influences Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
530,HBB1.9,கொள்ளிக்காது கரப்பான்,Kollikātu Karappāṉ,Eczema with blisters around the ear due to increasing azhal,"It is characterised by dermatitis with burning sensation in the ears. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cennīr gets affected.",Siddha
531,HBB1.10,அக்கிகாது கரப்பான்,Akkikātu Karappāṉ,Eczema with boils around the ear due to increasing azhal,It is characterised by herpetic lesion in the ears. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.,Siddha
532,HBB1.11,நீர் காது கரப்பான்,Nīr Kātu Karappāṉ,Eczema with oozing around the ear due to increasing azhal,It is characterised by dermatitis with oozing. It is explained by increase in Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram is affected.,Siddha
533,HBC,ஐயம்,Aiyam,Disorders of ear classified under aiyam,-,Siddha
534,HBC1.1,வெண் செவி குட்டம்,Veṇ Cevi Kuṭṭam,Hypopigmented lesions around the ear due to increasing aiyam,It is characterised by hypopigmented macular lesions in the skin around the ear. It is explained by decrease in vali. Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.,Siddha
535,HBC1.2,குன்றி பிளவை,Kuṉṟi Piḷavai,Abrus seed-Iike ear blisters due to increasing aiyam,"It is characterised by blisters in ear resembling the seeds of the plant Abrus precatorious with fleshy odour. It is explained by increased Aẕal affecting aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
536,HBC1.3,மாங்கிச செவி சூலை,Maṅkiṣa Cevi Cūlai,Lymphadenitis of the ear due to increased aiyam,"It is characterised by inflammatory growth in ear, head ache,occipital pain and abdominal pain. The condition is intractable.It is explained by increased vali.Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.",Siddha
537,HBC1.4,ஐயம்,Aiyam,Disorders of ear classified under aaiyam,-,Siddha
538,HBC1.5,சீழ் செவி எழுச்சி,Cīẕ Cevi Eẕucci,Inflammation of eustachian tube with discharge due to increased aiyam,"It is characterised by purulent discharge from ear, heat all over the head, swelling, fever with rigor, eustachian tube obstruction due to increased aiyam. It is explained by increase in Aẕal and aiyam . Among the Uṭaṟtātukkaḷ Cāram and Cennīr are affec",Siddha
539,HBC1.6,நீர் செவி எழுச்சி,Nīr Cevi Eẕucci,Obstruction of the Eustachian tube due to increased aiyam,"It is characterised by pain inside the ear, headache, heaviness in the occipital region and nasal congestion. It is explained by increased vali influencing aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr are affected.",Siddha
540,HBC1.7,பொக்கி செவி பரு,Pokki Cevi Paru,Boils around the ear due to increasing aiyam,"It is characterised by papules or boils around the ear. It is explained by increased aiyam. Among the Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ are affected.",Siddha
541,HBC1.8,விரண செவி பரு,Viraṇa Cevi Paru,Boils with ulcers around the ear due to increasing aiyam,It is characterised by boils or papules and ulcers in ears. It is explained by increased aiyam. Among the Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,Siddha
542,HBC1.9,குவை செவி பரு,Kuvai Cevi Paru,Boils with pus around the ear due to increasing aiyam,It is characterised by eruptions around the ear with purulent discharge from the lesions. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr get affected.,Siddha
543,HBC1.10,நீர் செவி பரு,Nīr Cevi Paru,Boils with watery appearance around the ear due to increasing aiyam,It is characterised by eruptions with watery discharge from ear . It may be explained by derangement of aiyam . Among the Uṭaṟtātukkaḷ Cāram gets affected .,Siddha
544,HBC1.11,நீர் செவி சூலை,Nīr Cevi Cūlai,Pricking pain with accumulation of fluid in the Ear due to increasing Aiyam,"It is characterised by increased secretion in ear, sweating, dizziness, tiredness, inflammation, dryness of tongue, speech disturbances and ear block. It is explained by increased Aẕal humour causing inflammation, decreased vali causing speech disturbanc",Siddha
545,HBC1.12,நீர்பிளவை,Nīrpiḷavai,Ear carbuncle due to increasing aiyam,"It is characterised by carbuncle or abscess with watery discharge inside the ear. It is explained by increase of aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ get affected.",Siddha
546,HBC1.13,கழலை பிளவை,Kaẕalai Piḷavai,Ear carbuncle with tumor mass due to increasing aiyam,"It is characterised by a tumour like growth in the ear. It is explained by the increased aiyam. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu get affected.",Siddha
547,HBD,முக்குற்றம்,Mukkuṟṟam,Disorders of ear classified under Mukkutram,-,Siddha
548,HBD1.1,சீழ் செவி சன்னி,Cīẕ Cevi Caṉṉi,Internal ear infection with discharge due to altered Mukkutram,"It is characterised by otalgia, pain and puffiness in the eye, pricking pain in jaw, dryness of tongue, reduced speech, cough and seizures. It is expained by derangement of vali, Aẕal and aiyam . Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affec",Siddha
549,HBD1.2,குருதி செவி சன்னி,Kuruti Cevi Caṉṉi,Internal ear infection with bleeding due to altered Mukkutram,"It is characterised by otalgia, bleeding from ear, diminished hearing, anger due to intolerable pain, occipital pain and pain in lower jaw, sweating in extremities, It is explained by increased vali, Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram,",Siddha
550,HBD1.3,நீர் செவி சன்னி,Nīr Cevi Caṉṉi,Internal ear infection with accumulation of fluid due to increasing Mukkutram,"It is characterised by ear pain, papules in head, hoarsness of voice, fatigue in eye, pain below the ears and in lower jaw around the tempero mandibular joint, cervical lymphadenopahy and phlegm in chest. It is explained by increased vali (udanavayu), Aẕa",Siddha
551,HBD1.4,வளி செவி கன்னி,Vaḷi Cevi Caṉṉi,Internal ear infection due to increasing Vali and influencing the Mukkutram,"It is characterised by pounding pain in ear, dryness in tongue, hiccough, thirst, sweating, locked jaw, pain in occiput, eyebrows and emaciation,. It is explained by derangement of vali, Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and",Siddha
552,HBD1.5,முக்குற்ற செவி எழுச்சி,Mukkuṟṟa Cevieẕucci,Inflammation of the middle ear due to altered Mukkutram,"It is characterised by pain in ear, tinnitus, hiccough, vomiting, fever, cough, sore throat, pain in jaw, swelling in lower jaw, heaviness of head, loss of hearing and difficult to cure. It is explained by the derangement of vali, Aẕal and aiyam. Among t",Siddha
553,HC,வாய் நோய்கள்,Vāy Nōykaḷ,Disorders of Mouth,-,Siddha
554,HCA,வளி,Vaḷi,Disorders of lips classified under vali,-,Siddha
555,HCA1.1,வளி உதடு நோய்,Vaḷi Utaṭunōy,Dryness of the Lips due to increasing vali,It is characterised by dryness of lips with cracks. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram is decreased.,Siddha
556,HCA1.2,குட்ட உதடு நோய்,Kuṭṭa Utaṭunōy,skin lesion in the lips due to derangment of vali,"It is characterised by dicolouration of lips, small papules and cracks with bleeding. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr get affected.",Siddha
557,HCB,அழல்,Aẕal,Disorders of lips classified under Azhal,-,Siddha
558,HCB1.1,அழல் உதடு நோய்,Aẕal Utaṭunōy,Reddishness of the lips and boils present due to increasing azhal,"It is characterised by yellowish discoloration with redness in the lips, papules in lips which varies daily. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ get affected.",Siddha
559,HCB1.2,சதை உதடு நோய்,Catai Utaṭunōy,Ulcers in the lips due to increasing azhal,"It is characterised by swelling of lips resulting in ulcers. It resembles musle mass. It may be explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ get affected.",Siddha
560,HCB1.3,குருதி உதடு நோய்,Kuruti Utaṭunōy,Swelling and redness of the lips due to increasing azhal,"It is characterised by swelling of lips with redness. It may be explained by increased Aẕal followed by increased aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get increased .",Siddha
561,HCB1.4,வெடிப்பு உதடு நோய்,Veṭippu Utaṭunōy,Dried lips with bleeding due to increasing azhal,It is characterised by cracks in lips. It is explained by icreasedd vali. Among the seven Uṭaṟtātukkaḷ Cāram gets affected.,Siddha
562,HCC,ஐயம்,Aiyam,Disorders of lips classified under Aiyam,-,Siddha
563,HCC1.1,ஐய உதடு நோய்,Aiya Utaṭunōy,Pale boils in the lips due to increasing aiyam,"It is characterised by white papules in lips with discharge,swollen lips and meat odour from the lesions. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr and Ūṉ get affected.",Siddha
564,HCC1.2,நீர்உதடு நோய்,Nīr Utaṭunōy,Watery boils present in the lips due to increasing aiyam,It is characterised by small papules resembling water droplets in the lips with watery discharge. It is explained by increased Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr get affected.,Siddha
565,HCC1.3,மினுமினுப்பு உதடு நோய்,Miṉumuṉuppu Utaṭunōy,Fluid accumulation on the lips due to increasing aiyam,"It is characterised by shiny swelling of lips, feeling of pleasure on scrating the lips. It is explained by increased aiyam. Among the Uṭaṟtātukkaḷ Cāram get affected.",Siddha
566,HCC1.4,உதட்டில் அடிபட்ட வீக்கம்,Utaṭṭil Aṭipaṭṭa Vīkkam,Swelling of the lips by injury due to derangment of Aiyam,"It is characterised by painful swelling of lips with redness. It may be explained by derangement of Aẕal humour. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ get affected.",Siddha
567,HCD,முக்குற்றம்,Mukkuṟṟam,Disorders of lips classified under Mukkutram,-,Siddha
568,HCD1.1,முக்குற்ற உதடு நோய்,Mukkuṟṟa Utaṭunōy,swelling and boils in the lips due to derangment of mukkutram,"It is characterised by papules of different shapes in the lips, foul smelling discharge and cracks in lips. It is explained by increased vali, Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ get affected.",Siddha
569,HD,நாக்கு நோய்கள்,Nākku Nōykaḷ,Disorders of Tongue,-,Siddha
570,HDB,அழல்,Aẕal,Disorders of Tongue classified under Azhal,-,Siddha
571,HDB1.1,நாக்கு நோய்கள்,Nākku Nōykaḷ,Lingular diseases due to increasing azhal,"It is characterised by changes in colour, bumps like eruptions in tongue, abnormalities of the surface of tongue, coated tongue, pain due to injury, ulcers, taste concerns and paralysis of tongue. It is explained by increased Aẕal. Among the Uṭaṟtātukkaḷ",Siddha
572,I,நாளமில்லா சுரப்பி நோய்கள்,Nāḷamillā Curappi Nōykaḷ,Endocrine disorders,-,Siddha
573,J,தொற்றுநோய்கள்,Toṟṟu Nōykaḷ,Infectious disease,-,Siddha
574,JA,அம்மை நோய்,Ammai Nōy,Measles,-,Siddha
575,JAB,அழல்,Aẕal,Measles classified under Azhal,-,Siddha
576,JAB1.1,கடுகு அம்மை,Kaṭuku Ammai,"Measles associated with stupor, diarrhoea and sore throat","It is characterised by high fever, vesicles appear on third day and aggregate later, giddiness, diarrhoea, anuria, heamaturia and anasarca,the vesicles will disappear on thirteenth day. It is explained by the increased of vali. Among the seven Uṭaṟtātukk",Siddha
577,JAB1.2,கள்ளுதரி அம்மை,Kallutari Ammai,Measles associated with diarrhoea,"It is characterised by continous fever, vomiting, body pain excessive diarrhoea, dehydration, excessive thirst, fainting and incoherent talk with development of vesicles on third day and disapperance of the vesicles on tenth day. It is explained by agg",Siddha
578,JAB1.3,கரும்பனிசை அம்மை,Karumpaṉicai Ammai,Measles associated with anal pain,"It is characterised by continous fever for three days, vesicles appears on fourth day and later develops into pustules, itching, anal pain and diarrhoea also present. It is explained by increased of Aẕal and later vali. Among the seven Uṭaṟtātukkaḷ, Cār",Siddha
579,JAB1.4,கொள்ளம்மை,Koḷḷammai,Measles associated with febrile fits,"It is characterised by continous fever, convulsion, frequent vomiting, incoherent talk and stammering of speech, development of mustard size pustule which disappears on thirteenth day. It is explained by increased of Aẕal and then vali. Among the seven",Siddha
580,JAB1.5,குளுவன் அம்மை,Kuḷuvaṉ Ammai,Measles associated with big vesicles,"It is characterised by continous fever for three days, red coloured vesicles which gradually increases in size like sangam fruit and disappears on tenth day. It is explained by increased Aẕal and then increases aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram",Siddha
581,JAB1.6,மிளகம்மை,Miḷakammai,Measles associated with joint pain,"It is characterised by slight fever associated with joint pain, warmthness over the body, vesicles appears on seventh day and later disappears. It is explained by increased Aẕal with vali. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ and Koẕuppu get a",Siddha
582,JAB1.7,பாசிப் பயற்றம்மை,Pācippayaṟṟammai,Measles associated with redness of eye,"It is characterised by high fever associated with redness of eyes, incoherent talk, anger and loss of sense. After reduction of fever, vesicles will appear and later develops into pustules on seventh day and then it drys on seventeenth day. It is explaine",Siddha
583,JAB1.8,பனைமுகரி அம்மை,Paṉaimukari Ammai,Measles associated with delirium,"It is characterised by fever, rigor associated with body pain, incoherent talk, sweating, swelling of neck, bilious vomiting and fatigue. In Women, menorrhagia like bleeding will appear. It is explained by the increased Aẕal. Among the seven Uṭaṟtātukkal",Siddha
584,JAB1.9,வரகுதரி அம்மை,Varakutari Ammai,Measles associated with haematuria,"It is characterised by high fever associated with insomnia, vomiting, ulcer formation and bleeding from the mouth, heamaturia due to urinary tract infections and multiple pustules on head. On eleventh day, pustules will disappear. It is explained by incre",Siddha
585,JAB1.10,விச்சரிப்பு அம்மை,Viccarippu Ammai,Measles associated with small macules all over the body,"It is characterised by high fever associated with redness of eyes, vomiting, diarrhoea and fatigue. The vesicles appear on the third day. The vesicles spread throughout the body. On seventh day the vesicles will dry. It is explained by increased of Aẕal a",Siddha
586,JAC,ஐயம்,Aiyam,Measles classified under Aiyam,-,Siddha
587,JAC1.1,பால் அம்மை,Pāl Ammai,Measles associated with continous fever,"It is characterised by continous fever for three days followed by developing of pustules which gradually increase in size day by day and dry after nineth day. It is explained by increased Aẕal and then aiyam. Among the Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ a",Siddha
588,JAC1.2,உப்புதிரி அம்மை,Upputiri Ammai,Measles associated with skin patches,"It is characterised by continous fever for three days followed by vesicles on fourth day and later associated with frequent sweating with salty odour, giddiness, tiredness and dyspnoea which subsides in seven days. It is explained by increased of Aẕal an",Siddha
589,JAC1.3,வெந்தய அம்மை,Ventaya Ammai,Measles associated with pus,"It is characterised by high fever followed by vesicles on third day,develops into pustules on seventh day and disappear on ninth day. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ and Koẕuppu get affected.",Siddha
590,JAD,முக்குற்றம்,Mukkuṟṟam,Measles classified under Mukkutram,-,Siddha
591,JAD1.1,தவளை அம்மை,Tavaḷai Ammai,Measles associated with costal pain,"It is characterised by high fever associated with loss of appetite, development of vesicles on third day which subside by ninth day, phlegm in chest, dyspnoea and later deafness. It is explained by increased Aẕal and then vali. Among the seven Uṭaṟtātukk",Siddha
592,JB,இளைப்பு நோய்,Iḷaippu Nōy,Tuberculosis,-,Siddha
593,JBA,வளி,Vaḷi,Tuberculosis classified under Vali,-,Siddha
594,JBA1.1,அதோகத தோடம்,Atōkata Tōṭam,Tuberculosis affected below umbilical region,"It is characterised by slight rise of temperature in the evening, fatigue, anorexia, indigestion and tuberculi infection of gut, frequent diarrhoea, distension of lower abdomen, atrophy of limbs, frequent episode of fever, pallor and ascites . It is expla",Siddha
595,JBA1.2,கோட்டக்கத தோடம்,Kōṭṭakata Tōṭam,Tuberculosis affected in liver and kidney,"It is characterised by slight rise of temperature in the evening time, fatigue, anorexia, indigestion and pain in left hypochondric region, frequent urination, dysuria, atonic bladder and severe pain in posterior side of the hip. It is explained by incre",Siddha
596,JBA1.3,திரியக்கத தோடம்,Tiriyakkata Tōṭam,Tuberculosis affected in skin and costal,"It is characterised by slight rise of temperature in the evening, fatigue, anorexia, indigestion and tuberculi infection of skin, rashes over the nose, cheek, toes, upper and lower limbs, chronic ulcer, pain in the ribs during respiration, throbbing pain",Siddha
597,JBA1.4,ஊர்த்துவகத தோடம்,Ūrttuvakata Tōṭam,"Tuberculosis affected in ENT region, chest and neck","It is characterised by slight increase in temperature in the evening, fatigue, anorexia, indigestion, frequent nasal obstruction with sneezing and cough, purulent thick nasal discharge, ulcers in nasal septum and swellling around nose, hoarseness of voic",Siddha
598,JC,ஊழி நோய்,Ūẕi Nōy,Cholera,-,Siddha
599,JCA,வளி,Vaḷi,Cholera classified under Vali,-,Siddha
600,JCA1.1,வளி ஊழி,Vaḷi Ūẕi,Watery loose stools and vomiting caused by increased Vali,"It is characterised by diarrhoea associated with vomiting, giddiness, coldness of extremities, body pain, cramps, thirst, abdominal pain, distended abdomen, sunken eyes, depression, fever and flatulence . It is explained by increased vali. Among the seve",Siddha
601,JCB,அழல்,Aẕal,Cholera classified under Azhal,-,Siddha
602,JCB1.1,அழல் ஊழி,Aẕal Ūẕi,Watery loose stools and vomiting caused by increased Azhal,"It is characterised by frequent diarrhoea, excessive thirst, blood and pus discharge, dryness of tongue, black discolouration of skin, vomiting, dyspnoea and fainting. It is explained by increased of Aẕal associated with aiyam.Among the seven Uṭaṟtātukkal",Siddha
603,JCC,ஐயம்,Aiyam,Cholera classified under Aiyam,-,Siddha
604,JCC1.1,ஐய ஊழி,Aiya Ūẕi,Watery loose stools and vomiting caused by increased Aiyam,"It is characterised by vomiting and diarrhoea associated with excessive thirst, emaciation, sunken eyes, pallor , cold extremities and dyspnoea. It is explained by the increased aiyam and then vali. Among the seven Uṭaṟtātukkaḷ Cāram get affected.",Siddha
605,JD,உளைமாந்தை,Uḷaimāntai,Intestinal tuberculosis,-,Siddha
606,JDA,வளி,Vaḷi,Intestinal tuberculosis classified under Vali,-,Siddha
607,JDA1.1,வாத உளைமாந்தை,Vāta Uḷaimāntai,Intestinal tuberculosis caused by increased Vali,"It is characterized by pain in the chest and flanks,cough,fever,mass in the abdomen,dysentry,emaciation in the body,indigestion,and diarrhoea.It is explained by increased vali.Among seven udarthathukkal,Cāram,Cennīr and Ūṉ get affected.",Siddha
608,JDB,அழல்,Aẕal,Intestinal tuberculosis classified under Azhal,-,Siddha
609,JDB1.1,பித்த உளைமாந்தை,Pitta Uḷaimāntai,Intestinal tuberculosis caused by increased Azhal,"It is characterised by unbearable abdominal pain, distended abdomen, fever, cough, boils associated with vomiting and giddiness. It is explained by increased Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, moola iand su",Siddha
610,JDC,ஐயம்,Aiyam,Intestinal tuberculosis classified under Aiyam,-,Siddha
611,JDC1.1,கப உளைமாந்தை,Kapa Uḷaimāntai,Intestinal tuberculosis caused by increased aiyam,"It is characterised by vomiting, vomitus with pus, emaciaition, giddiness, mild fever, ulcers and pallor. It is explained by the aggravtion of aiyam associated with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, moola iand sukkilam g",Siddha
612,JDD,முக்குற்றம்,Mukkuṟṟam,Intestinal tuberculosis classified under Mukkutram,-,Siddha
613,JDD1.1,திரிதோட உளைமாந்தை,Tiritōṭa Uḷaimāntai,Intestinal tuberculosis caused by derangement of Mukkutram,"It is characterised by throat pain, dyspepsia, depression, sleeplessness, itching and cough with expectoration, sputum with foul smelling. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, Mūḷai and sukkilam",Siddha
614,K,உள நோய்கள்,Uḷa Nōykaḷ,Psychiatric disorders,-,Siddha
615,KA,பிரமை,Piramai,Hallucination,-,Siddha
616,KAA,வளி,Vaḷi,Hallucination classified under Vali,-,Siddha
617,KAA1.1,வாத பிரமை,Vāta Piramai,Hallucination caused by increased Vali,"It is characterised by anorexia, hypersomnia, restless behaviour, wandering mind, lassitude, defective articulation, weight gain and impaired hearing. It is explained by increased vatham. Among the seven udarthathukkal Cāram ,Cennīr and Ūṉ get affected",Siddha
618,KAB,அழல்,Aẕal,Hallucination classified under azhal,-,Siddha
619,KAB1.1,பித்த பிரமை,Pitta Piramamai,Hallucination caused by increased Azhal,"It is characterised by bilious vomiting, belching, hiccough, excessive appetite and thirst even after intake of food and water, anger, disrespect attitude, blushing of face, eye, mouth and all over the body, looking differently and cruelly, talking contin",Siddha
620,KAC,ஐயம்,Aiyam,Hallucination classified under Aiyam,-,Siddha
621,KAC1.1,கப பிரமை,Kapa Piramai,Hallucination caused by increased Aiyam,"It is characterised by blackish discolouration of the body, dryness of mouth, tongue and teeth, loss of appetite and thirst and retraction of penis. It is explained by increased kapam. Among the seven udarthathukkal Cāram ,Cennīr and Ūṉ get affected",Siddha
622,KB,கிரிகை,Kirikai,Lunacy,-,Siddha
623,KBA,வளி,Vaḷi,Lunacy classified under Vali,-,Siddha
624,KBA1.1,வாத கிரிகை,Vāta Kirikai,Catatonic withdrawal with raising up and lying down,"It is characterised by unmindfull, remains dumb, rising and lying down suddenly, body is felt very chill due to hyperhydrosis, bruxism,unaware of environment, frequently shifting the place. It is explained by increased vatham. Among the seven udarthath",Siddha
625,KBA1.2,நாதவிந்து கிரிகை,Nātavintu Kirikai,Manica excitement with running like fugitive,"It is characterised by wandering in the streets, hug the females, embracing them showing aggressiveness on both sex, bump on some ones head, spitting on their face, smiling on seeing his relatives and shows hostile on unknown person, being cheeky on auda",Siddha
626,KBA1.3,முனங்கல் கிரிகை,Muṉaṅkal Kirikai,Catatonic excitement with meanining less talking,"It is characterised by folding the fingers, never stretch them out crying with tears for every 24 minutes, non- staying in one place, never lie down, lighting fire on the house, sometimes laughing and moaning. It is explained by increased vatham. Among t",Siddha
627,KBA1.4,வலிப்பு கிரிகை,Valippu Kirikai,Catatonic excitement with veins pounding,"It is characterised by lamentation, spasmodic tremor, engorgement of the veins, screaming, involuntary movements of the head, always crying, reddish discolouration of eyes, scratching the body, dribbling of saliva. It is explained by increased vatham. A",Siddha
628,KBA1.5,பேய்பிடி கிரிகை,Pēypiṭi Kirikai,Catatonic excitement with tearing their dresses,"It is characterised by screams, runaway to the crematorium, beating, dancing, calling the names of demen, tearing the cloth, biting others and hectic for blood, running away with meaningless cry, swallowing crematorium ash, crying lonely. It is explained",Siddha
629,KBB,அழல்,Aẕal,Lunacy classified under Azhal,-,Siddha
630,KBB1.1,அனற்கிரிகை,Aṉaṟkirikai,Chronic Schizophrenia with wilderness and run amack,"It is characterised by obeisance to the unknown men, roaming in low hills and barren land, picking the wasted food, nodding the head frequently, closing the mouth, disobedience, eating anything given, scratching the floor with nail, wetting the cloth by u",Siddha
631,KBB1.2,பித்த கிரிகை,Pitta Kirikai,Chronic Schizophrenia with nakedness and smear faeces,"It is characterised by the symptoms of exhibitionism, soiling the dress and body with faecal matter, rolling himself on the floor, spitting on self and the other persons. It is explained by increased pitham. Among the seven Uṭaṟtātukkaḷ Cāram get affect",Siddha
632,KBB1.3,எச்சில் கிரிகை,Eccil Kirikai,Chronic Schizophrenia with eating faeces and splashing water,"It is characterised by the symptoms of eating faecal matter, knocking the floor, spraying the water on his head with rejoice, eating ash, getting drenched under the rain, barking like a dog, blabbering and lamenting, making obeisance to the dog, eating t",Siddha
633,KBB1.4,பூத கிரிகை,Pūta Kirikai,Chronic Schizophrenia with rolling in ashes and frothing in mouth,"It is characterised by confused state, biting other, wallowing on the ash, spray the slush over its head, singing, dancing and beating one who comes close to him, making cut injuries, making obeisance to the degraded persons and beating the honoured and",Siddha
634,KBB1.5,ஜல கிரிகை,Jala Kirikai,Chronic Schizophrenia with swimming in floor,"It is characterised by getting panic while approaching water, somersaulting frequently, always strolling in and out, tasting the pica, smiling and making obeisance on seeing the persons wearing ornaments and following them, insomnia. It is explained by i",Siddha
635,KBB1.6,கல் எரி கிரிகை,Kal Eri Kirikai,Chronic Schizophrenia with pelting stones and crying,"It is characterised by moaning with closed eyes, crying with throwing stones, get submerged in water, undressed, running frequently, uttering lies, biting the babies, hugging everybody appealing to them, appearing always naked, dribbling of saliva, linki",Siddha
636,KBB1.7,கும்பிடு கிரிகை,Kumpiṭu Kirikai,Chronic Schizophrenia with saluting everyone,"It is characterised by symptoms like modesty to the fellow beings even on the creatures and serpents, taking more food, doing any work commanded by other expeditiously, beating the children and females and growling, improper walking, making obeisance to",Siddha
