,NAMC_ID,NAMC_CODE,NAMC_term,NAMC__term_diacritical,NAMC__term_DEVANAGARI,short_definition,long_definition,ontology_branches,section
727,734,EC-3.8.34,KARNIKA-SANNIPATAJVARAH,karṇika-sannipātajvaraḥ,कर्णिक-सन्निपातज्वरः,karṇika- sannipātajvara ,,,Ayurveda
728,735,EC-3.8.35,KANTHAKUBJA-SANNIPATAJVARAH,kaṇṭhakubja-sannipātajvaraḥ,कण्ठकुब्ज-सन्निपातज्वरः,kaṇṭhakubja- sannipātajvara ,,,Ayurveda
729,736,EC-3.8.36,BUGNANETRA-SANNIPATAJAJVARAH,bhugnanētra-sānnipātajajvaraḥ,भुग्ननेत्र-सान्निपातजज्वरः,bhugnanētra- sannipātajvara ,,,Ayurveda
730,737,EC-3.8.37,KUMBIPAKA-SANNIPATAJAJVARAH,kumbhīpāka-sānnipātajajvaraḥ,कुम्भीपाक-सान्निपातजज्वरः,kumbhīpāka- sannipātajvara ,,,Ayurveda
731,738,EC-3.8.38,ASADHYA-SANNIPATAJVARAH,asādhya-sānnipātajvaraḥ,असाध्य-सान्निपातज्वरः,irremediable sannipātajvara ,,,Ayurveda
732,739,EC-3.8.39,HATAUJAH,hataujaḥ,हतौजः,hatauja- sannipātajvara ,stiffness of body parts cold limbs desire for sleeping unconciousness lassitude (while awake and sleep too) excess talking/irrelevant speech/incoherent speech (while awake and sleep too) horripilation flaccidity/laxity mild burning mild pain clinical features of sannipata jvara,,Ayurveda
733,740,EC-3.8.40,SAMNYASA-SANNIPATAJAJVARAH,saṁnyāsa-sannipātajajvaraḥ,संन्यास-सन्निपातजज्वरः,sanyāsa- sannipātajvara ,,,Ayurveda
734,741,EC-3.8.41,SAMASANNIPATAJVARAH,samasannipātajvaraḥ,समसन्निपातज्वरः,sannipātajvara due to equally aggravated three dōśa ,,,Ayurveda
735,742,EC-3.8.42,VISHAMASANNIPATAJVARAH,viṣamasannipātajvaraḥ,विषमसन्निपातज्वरः,sannipātajvara due to disproportionately aggravated three dōṣa ,,,Ayurveda
736,743,EC-3.8.43,SANNIPATA-JVAROPADRAVAH,sannipāta-jvarōpadravaḥ,सन्निपात-ज्वरोपद्रवः,complications of sannipAta jvara ,,,Ayurveda
737,744,EC-3.9,AGANTUJVARAH,āgantujvaraḥ,आगन्तुज्वरः,jvara due to exogenous factor ,,,Ayurveda
738,745,EC-3.9.1,ABIGHATAJAJVARAH,ābhighātajajvaraḥ,आभिघातजज्वरः,jvara due to trauma ,uneasiness/agitation/feeling of discomfort oedema discolouration pain fever,,Ayurveda
739,746,EC-3.9.1.1,SRAMAJANYAJVARAH,śramajanyajvaraḥ,श्रमजन्यज्वरः,jvara due to exhaustion ,uneasiness/agitation/feeling of discomfort oedema discolouration pain fever,,Ayurveda
740,747,EC-3.9.1.2,CEDAJANYAJVARAH,chēdajanyajvaraḥ,छेदजन्यज्वरः,jvara due to ulcer ,uneasiness/agitation/feeling of discomfort oedema discolouration pain fever,,Ayurveda
741,748,EC-3.9.1.3,KSHATAJANYAJVARAH,kṣatajanyajvaraḥ,क्षतजन्यज्वरः,jvara due to kṣata ,uneasiness/agitation/feeling of discomfort oedema discolouration pain fever,,Ayurveda
742,749,EC-3.9.1.4,DAHAJANYAJVARAH,dāhajanyajvaraḥ,दाहजन्यज्वरः,jvara due to dāha ,uneasiness/agitation/feeling of discomfort oedema discolouration pain fever,,Ayurveda
743,750,EC-3.9.2,ABICARAJA-JVARAH,abhicāraja-jvaraḥ,अभिचारज-ज्वरः,jvara due to incantation ,clinical features of sannipata jvara confusion/delirium thirst mental agitation (former) heat in body (later) blisters thirst giddiness or dizziness burning sensation syncope/attacks of swooning daily increases fever not tolerable,,Ayurveda
744,751,EC-3.9.3,ABISAPAJANYAJVARAH,abhiśapajanyajvaraḥ,अभिशपजन्यज्वरः,jvara due to malediction ,confusion/delirium thirst clinical features of sannipata jvara,,Ayurveda
745,752,EC-3.9.4,ABISHANGAJA-JVARAH,abhiṣaṅgaja-jvaraḥ,अभिषङ्गज-ज्वरः,jvara due to curse ,,,Ayurveda
746,753,EC-3.9.4.1,GRAHAVESAJANYAJVARAH,grahāvēśajanyajvaraḥ,ग्रहावेशजन्यज्वरः,jvara due to possession ,sudden laughing cries suddenly,,Ayurveda
747,754,EC-3.9.4.2,KAMAJAJVARAH,kāmajajvaraḥ,कामजज्वरः,jvara due to desire ,insensibility/meditatitve appearance predominant expiration,,Ayurveda
748,755,EC-3.9.4.3,BAYAJAJVARAH,bhayajajvaraḥ,भयजज्वरः,jvara due to fear ,fear,,Ayurveda
749,756,EC-3.9.4.4,SOKAJAJVARAH,śōkajajvaraḥ,शोकजज्वरः,Bereavement triggered jvara ,having more tears in eyes/tearful eyes,,Ayurveda
750,757,EC-3.9.4.5,KRODHAJAJVARAH,krōdhajajvaraḥ,क्रोधजज्वरः,jvara due to anger ,excessive agitation/anger,,Ayurveda
751,758,EC-3.9.4.6,VISHAJAJVARAH,viṣajajvaraḥ,विषजज्वरः,jvara due to poison ,syncope/attacks of swooning confusion/delirium intoxication fatigue in mind and body burning sensation,,Ayurveda
752,759,EC-3.9.4.7,AUSHADHIGANDHAJAJVARAH,auṣadhigandhajajvaraḥ,औषधिगन्धजज्वरः,jvara due to poisonous plants ,,,Ayurveda
753,760,EC-3.9.4.8,BUTABISHANGAJVARA,bhūtābhiṣaṅgajvara,भूताभिषङ्गज्वर,jvara due to spirit possession ,agitation/anxiety patient laughs suddenly tremors crying,,Ayurveda
754,761,EC-3.10,VISHAMAJVARAH,viṣamajvaraḥ,विषमज्वरः,intermittent pyrexia ,"irregular onset, remission and episodes of fever",,Ayurveda
755,762,EC-3.10.1,SATATA-VISHAMAJVARAH,satata-viṣamajvaraḥ,सतत-विषमज्वरः,intermittent fever appearing twice daily ,fever spike twice in twenty four hours,,Ayurveda
756,763,EC-3.10.2,SANTATA-VISHAMAJVARAH,santata-viṣamajvaraḥ,सन्तत-विषमज्वरः,continuous fever ,continuous fever without fall,,Ayurveda
757,764,EC-3.10.3,ANYEDYUSHKA-VISHAMAJVARAH,anyēdyuṣka-viṣamajvaraḥ,अन्येद्युष्क-विषमज्वरः,vishama jvara occurring once in a day ,fever spike once in twenty four hours,,Ayurveda
758,765,EC-3.10.4,TRUTIYAKA-VISHAMAJVARAH,tr̥tīyaka-viṣamajvaraḥ,तृतीयक-विषमज्वरः,tertian fever ,fever spike on alternate days i.e. 3rd day,,Ayurveda
759,766,EC-3.10.4.1,KAPAPITTATRUTIYAKAJVARAH,kaphapittatr̥tīyakajvaraḥ,कफपित्ततृतीयकज्वरः,tritIyaka jvara due to kapha and pitta ,stiffness of sacroiliac region,,Ayurveda
760,767,EC-3.10.4.2,VATAKAPATRUTIYAKAJVARAH,vātakaphatr̥tīyakajvaraḥ,वातकफतृतीयकज्वरः,tritIyaka jvara due to vāta and kapha ,stiffness in pruśṭha (back),,Ayurveda
761,768,EC-3.10.4.3,VATAPITTATRUTIYAKAJVARAH,vātapittatr̥tīyakajvaraḥ,वातपित्ततृतीयकज्वरः,tritIyaka jvara due to vāta and pitta ,stiffness of head/headache,,Ayurveda
762,769,EC-3.10.5,CATURTHAKA-VISHAMAJVARAH,caturthaka-viṣamajvaraḥ,चतुर्थक-विषमज्वरः,quartan fever ,fever spike on every fourth day,,Ayurveda
763,770,EC-3.10.5.1,VATAJACATURTHAKAJVARAH,vātajacaturthakajvaraḥ,वातजचतुर्थकज्वरः,cāturthaka due to vāta ,initial afflication of head,,Ayurveda
764,771,EC-3.10.5.2,PITTAJACATURTHAKAJVARAH,pittajacaturthakajvaraḥ,पित्तजचतुर्थकज्वरः,cāturthaka due to pitta ,,,Ayurveda
765,772,EC-3.10.5.3,KAPAJACATURTHAKAJVARAH,kaphajacaturthakajvaraḥ,कफजचतुर्थकज्वरः,cāturthaka due to kapha ,initial affliction of calf muscles pain,,Ayurveda
766,773,EC-3.10.6,CATURTHAKAVIPARYAYA-VISHAMAJVARAH,caturthakaviparyaya-viṣamajvaraḥ,चतुर्थकविपर्यय-विषमज्वरः, viṣamajvara remitting on every fourth day ,fever spike on 2nd and 3rd day patient is free from fever in the begining and at the end of four day period,,Ayurveda
767,774,EC-3.11,DHATUGATAJVARAH,dhātugatajvaraḥ,धातुगतज्वरः,jvara afflicting dhātu ,,,Ayurveda
768,775,EC-3.11.1,RASA-DHATUGATAJVARAH,rasa-dhātugatajvaraḥ,रस-धातुगतज्वरः,jvara afflicting rasa dhātu ,heaviness apathy agitation/anxiety exhaustion vomiting tastelessness hotness on external surface generalized bodyache yawning burning sensation in the precordial/cardiac region nausea/provocation of dōṣa breaking type of pain in body,,Ayurveda
769,776,EC-3.11.2,RAKTA-DHATUGATAJVARAH,rakta-dhātugatajvaraḥ,रक्त-धातुगतज्वरः,jvara afflicting rakta dhātu ,papular rash filled with rakta/red colured pustule papular rash which are hot thirst repeated haemoptysis burning sensation redness/congestion giddiness or dizziness intoxication excess talking/irrelevant speech/incoherent speech perspiration vomiting papules/eruptions confusion/delirium,,Ayurveda
770,777,EC-3.11.3,MAMSA-DHATUGATAJVARAH,māṁsa-dhātugatajvaraḥ,मांस-धातुगतज्वरः,jvara afflicting māṁsadhātu ,burning sensation inside the body thirst confusion/delirium fatigue in mind and body easy passage of stools bad odour convulsive movements of limbs calf claudication/cramp in the calf muscles easy passage of urine burning sensation externally giddiness or dizziness blackouts,,Ayurveda
771,778,EC-3.11.4,MEDA-DHATUGATAJVARAH,mēda-dhātugatajvaraḥ,मेद-धातुगतज्वरः,jvara afflicting mēdōdhātu ,perspiration excessive thirst excess talking/irrelevant speech/incoherent speech repeated vomiting intolerance to ones own smell fatigue in mind and body tastelessness syncope/attacks of swooning vomiting bad odour intolerance,,Ayurveda
772,779,EC-3.11.5,ASTHI-DHATUGATAJVARAH,asthi-dhātugatajvaraḥ,अस्थि-धातुगतज्वरः,jvara afflicting asthidhātu ,purgation and emesis breaking/splitting type of pain in the bones cooing as pigeon convulsive movements of limbs breathlessness/difficult breathing purging vomiting upward and downward expulsion of dōṣa,,Ayurveda
773,780,EC-3.11.6,MAJJA-DHATUGATAJVARAH,majjā-dhātugatajvaraḥ,मज्जा-धातुगतज्वरः,jvara afflicting majjādhātu ,hiccup breathlessness/difficult breathing cough feeling as if entering into an absolute darkness/blackouts affects /damage of marmasthāna (vital parts) internal burning and external coldness burning sensation internally rigor/chills laboured breathing vomiting,,Ayurveda
774,781,EC-3.11.7,SUKRA-DHATUGATAJVARAH,śukra-dhātugatajvaraḥ,शुक्र-धातुगतज्वरः,jvara afflicting śukradhātu ,spermatorrhoea death death persistent penile priapism blackout affects /damage of marmasthāna (vital parts),,Ayurveda
775,782,EC-3.12,AMAJAJVARAH,āmajajvaraḥ,आमजज्वरः,āma stage of jvara ,"tastelessness indigestion heaviness of abdomen a feeling of fullness in the precordium drowsiness/lassitude lethargy non subsiding fever hyperpyrexia supression of feces, urine etc. excessive salivation nausea loss of appetite distaste of mouth stiffness of body parts numbness of the limbs heaviness of body parts frequent excessive micturition improperly formed fecal matter absence of muscle wasting feeling as if heart is wrapped constipation anhidrosis/lack of sweating distress/dicontent/restlessness sleepiness diminution of agni bad oral hygiene severe obstruction exacerbation of comlications of fever",,Ayurveda
776,783,EC-3.13,PACYAMANAJVARAH,pacyamānajvaraḥ,पच्यमानज्वरः,pachyamana stage of jvara ,high grade fever thirst excess talking/irrelevant speech/incoherent speech breathlessness/difficult breathing giddiness or dizziness loose stools nausea/provocation of dōṣa,,Ayurveda
777,784,EC-3.14,NIRAMAJVARAH,nirāmajvaraḥ,निरामज्वरः,nirāma stage of jvara ,return of appetite wasted/dried up/emaciated feeling of lightness in the body/parts lessening of the fever/mild fever passage of the excreta/ absence of clinical features of āmajvara,,Ayurveda
778,785,EC-3.15,ANTARVEGAJVARAH,antarvēgajvaraḥ,अन्तर्वेगज्वरः,internal jvara ,burning sensation inside the body excessive thirst excess talking/irrelevant speech/incoherent speech breathlessness/difficult breathing giddiness or dizziness pain in the joints pain in the bones anhidrosis/lack of sweating suppression of the dōṣa suppression of the stools high grade fever pronounced symptoms of jvara (fever) internal burning sensation constipation,,Ayurveda
779,786,EC-3.16,BAHIRVEGAJVARAH,bahirvēgajvaraḥ,बहिर्वेगज्वरः,external jvara ,high grade external temperature decreased in severity of thirst etc.,,Ayurveda
780,787,EC-3.17,BAHYAJVARAH,bāhyajvaraḥ,बाह्यज्वरः,external jvara ,,,Ayurveda
781,788,EC-3.18,ANTARASRAYAJVARAH,antarāśrayajvaraḥ,अन्तराश्रयज्वरः,internal jvara ,,,Ayurveda
782,789,EC-3.19,GAMBIRAJVARAH,gaṁbhīrajvaraḥ,गंभीरज्वरः,chronic fever ,burning sensation inside the body thirst non passage of flatus and faeces breathlessness/difficult breathing cough looses the lustre of body and sence-perception tastelessness markedly high rise of temperature,,Ayurveda
783,790,EC-3.20,VATABALASAJVARAH,vātabalāsajvaraḥ,वातबलासज्वरः,jvara due to vāta and kapha ,low grade fever at all the time dryness oedema exhaustion or tirednes of body body becomes rigid predominance of kapha,,Ayurveda
784,791,EC-3.21,PUNARAVARTAKA-JVARAH,punarāvartaka-jvaraḥ,पुनरावर्तक-ज्वरः,relapsing jvara (fever) ,repeated fever apathy sneezing fatigue in mind and body pallor/pale lack of desire for food itching urticarial rash papule/eruptions diminution of agni (digestive power),,Ayurveda
785,792,EC-3.22,SVASANAKA-JVARAH,śvasanaka-jvaraḥ,श्वसनक-ज्वरः,śvasanaka type of jvara ,,,Ayurveda
786,793,EC-3.23,SITADI-JVARAH,śītādi-jvaraḥ,शीतादि-ज्वरः,śītādi type of jvara ,sour belching/eructation syncope/attacks of swooning toxicity thirst,,Ayurveda
787,794,EC-3.24,SAUMYA-JVARAH,saumya-jvaraḥ,सौम्य-ज्वरः,mild jvara (fever) ,,,Ayurveda
788,795,EC-3.25,ASADHYA-JVARAH,asādhya-jvaraḥ,असाध्य-ज्वरः,intractable jvara (fever) ,,,Ayurveda
789,796,EC-3.26,KOPAJAJVARAH,kōpajajvaraḥ,कोपजज्वरः,fever due to anger ,,,Ayurveda
790,797,EC-3.27,JVARA-ARISHTAH,jvara-ariṣṭaḥ,ज्वर-अरिष्टः,fatal signs of jvara ,,,Ayurveda
791,798,EC-4,STANYADUSHTIH/KSHIRADOSHAH,stanyaduṣṭiḥ/kṣīradōṣaḥ,स्तन्यदुष्टिः/क्षीरदोषः,vitiated breast milk ,,,Ayurveda
792,799,EC-4.1,VATAJAKSHIRADOSHAH,vātajakṣīradōṣaḥ,वातजक्षीरदोषः,breast milk vitiated by vāta ,causing constipation in children causing retention of urine in children astringent taste of breast milk immediate dissolves in water breast milk dry nature,,Ayurveda
793,800,EC-4.1.1,VAIRASYA-KSHIRADOSHAH,vairasya-kṣīradōṣaḥ,वैरस्य-क्षीरदोषः,abnormal flavour of breast milk ,imaciation in children not having well taste difficult to put on weight in children,,Ayurveda
794,801,EC-4.1.2,PENILA-KSHIRADOSHAH,phēnila-kṣīradōṣaḥ,फेनिल-क्षीरदोषः,frothy-kśīradōṣa ,"frothy substance difficult out flow from the breast weak and feeble voice of child retained stool/contipation in child retention of urine in child supression of flatus in child milk cause vatika śirōrōga cause cold, catarrh in child churns up the milk inside the breast",,Ayurveda
795,802,EC-4.1.3,RUKSHA-KSHIRADOSHAH,rūkṣa-kṣīradōṣaḥ,रूक्ष-क्षीरदोषः,non-unctous kśīradōṣa ,dryness in body of child diminution of strength in child,,Ayurveda
796,803,EC-4.2,PITTAJAKSHIRADOSHAH,pittajakṣīradōṣaḥ,पित्तजक्षीरदोषः,kśīradōṣa due to pitta ,sour taste of milk pungent taste of milk yellowish streaks in milk cause burning sensation in child breast milk hot in nature salty taste of milk,,Ayurveda
797,804,EC-4.2.1,VAIVARNYA-KSHIRADOSHAH,vaivarṇya-kṣīradōṣaḥ,वैवर्ण्य-क्षीरदोषः,unusual colour of breast milk ,discoluration of stanya (breast milk) blue coloured breast milk yellow coloured dark/blackish coloured stanya discolouration of body of child perspiration thirst altered consistency (loose) of feces of child constant hot body of child child not willing for breastfeed,,Ayurveda
798,805,EC-4.2.2,DAURGANDHYA-KSHIRADOSHAH,daurgandhya-kṣīradōṣaḥ,दौर्गन्ध्य-क्षीरदोषः,foul smell of breast milk ,child gets afflicated by pāṇḍu child gets afflicted by jaundice,,Ayurveda
799,806,EC-4.3,KAPAJAKSHIRADOSHAH,kaphajakṣīradōṣaḥ,कफजक्षीरदोषः,kśīradōṣa due to kapha ,thick/dense breast milk slimy breast milk sinking of breast milk in water breast milk with slightly salty in taste thick breast milk,,Ayurveda
800,807,EC-4.3.1,SNIGDHA-KSHIRADOSHAH,snigdha-kṣīradōṣaḥ,स्निग्ध-क्षीरदोषः,unctuous-kśīradōṣa ,more unctuous breast milk vomiting (in child) straining (at stools) (in child) salivation (in child) srōtasa gets filled with kapha (in child) sleepiness (in child) exhaustion without exertion (in child) breathlessness/difficult breathing (in child) cough (in child) excessive salivation (in child) tamaka śwasa (in child),,Ayurveda
801,808,EC-4.3.2,PAICCILYA-KSHIRADOSHAH,paicchilya-kṣīradōṣaḥ,पैच्छिल्य-क्षीरदोषः,slimy-kśīradōṣa ,salivation ( in child) oedema of face ( in child) swelling of eyes ( in child) sluggishness ( in child),,Ayurveda
802,809,EC-4.3.3,GAURAVA-KSHIRADOSHAH,gaurava-kṣīradōṣaḥ,गौरव-क्षीरदोषः,heavy to digest kśīradōṣa ,heaviness of breast milk develops heart disease in child,,Ayurveda
803,810,EC-4.4,SANNIPATAJAKSHIRADOSHAH,sānnipātajakṣīradōṣaḥ,सान्निपातजक्षीरदोषः,kśīradōṣa due to three dōṣa ,,,Ayurveda
804,811,EC-4.5,STANYAVAHA-SROTODUSHTI,stanyavaha-srōtōduṣṭi,स्तन्यवह-स्रोतोदुष्टि,derangement of stanyavahasrōtas ,,,Ayurveda
805,812,EC-5,PANDUROGAH,pāṇḍurōgaḥ,पाण्डुरोगः,anaemia ,"constant sound (flute like) in ear destroyed agni weakness exhaustion aversion to food exhaustion/fatigue giddiness or dizziness body pain fever difficulty in breathing heaviness of the body tastelessness rubbing type of pain in body squeezed type of pain in body body feels as if being churned swelling of the orbits of eyes greenish discoloration of body fragility/falling of body hair loss of lustre anger/irritability aversion to cold sleepy spitting/excess expectoration reduced talking calf claudication/cramp in the calf muscles low backpain pain in thighs pain in feet feeling of weakness of hip region fatigue /weakness in thighs feeling of weakness of feet/legs exertion /dyspnoea on climbing laxity/looseness of dhātu decrease in qualities of ōjas reduced raktadhātu/depletion of rakta reduced mēdōdhātu/depletion of mēdōdhātu reduction in sāra of dhātu/sapless/weak laxity of indiya, karmēndriya and dnyanēndriya palpitation of heart weakness of limbs/motionless",,Ayurveda
806,813,EC-5.1,PANDU-PURVARUPAM,pāṇḍu-pūrvarūpam,पाण्डु-पूर्वरूपम्,prodromes of pāṇḍurōga ,palpitation of heart dryness lack of sweating exhaustion/fatigue excessive sweating cracking of skin spitting/excess expectoration exhaustion or tiredness of body tendency to eat clay/pica (geophagia) supraorbital oedema yellowishness of feces yellowishness of urine indigestion dryness of skin diminution of agni/reduced digestive power tastelessness,,Ayurveda
807,814,EC-5.2,VATAJAPANDUROGAH,vātajapāṇḍurōgaḥ,वातजपाण्डुरोगः,pāṇḍurōga due to vāta ,pale black dryness of the body slight reddish discoloration of the body generalised bodyache pain pricking pain pain in sides of chest/flanks headache tremors decreased amount of fecal matter distaste of mouth oedema barborygmus with distention loss of physical strength or weakness blackish discoloration of eyes covered with blackish veins blackish discolouration of faeces blackish disoloration of urine blackish disoloration of nails blackish discolouration of face blackish disoloration of veins slightly reddish discoloration of faeces slightly reddish discoloration of urine slightly reddish discoloration of nails slightly reddish discoloration of eyes slightly reddish discoloration of veins dryness of fecal matter reduced unctuousness of urine dryness of nails dry eyes dryness of veins giddiness or dizziness,,Ayurveda
808,815,EC-5.3,PITTAJAPANDUROGAH,pittajapāṇḍurōgaḥ,पित्तजपाण्डुरोगः,pāṇḍurōga due to pitta ,yellowish discoloration of faeces yellowish discoloration of urine yelllowish discoloration of eyes yellowish veins covered with yellow veins yellowish discoloration of face greenish discoloration of faeces greenish discoloration of urine greenish discoloration of veins greenish discoloration of nails greenish discoloration of face fever burning sensation thirst syncope/attacks of swooning thirst excessive sweating desire for cold lack of desire for food pungent taste in mouth aggravation of clinical features due to exposure to heat aggravation of clinical features due to intake of sour taste sour belching/eructation indigestion leading to acidic food bad odour from the body passage of unformed (loose) feces weakness blackouts excessive yellowish tinge,,Ayurveda
809,816,EC-5.4,KAPAJAPANDUROGAH,kaphajapāṇḍurōgaḥ,कफजपाण्डुरोगः,pāṇḍurōga due to kapha ,heaviness drowsiness/lassitude vomiting whitish discoloration of body whitish discoloration of eyes covered with whitish veins whitish discoloration of faeces whitish discoloration of urine whitish discoloration of nails whitish discoloration of face excessive salivation horripilation exhaustion or tirednes of body syncope/attacks of swooning giddiness or dizziness exhaustion without exertion breathlessness/difficult breathing cough lethargy tastelessness obstructed speech obstructed voice desire for pungent taste desire for dryness desire for heat oedema sweet taste in the mouth salty taste in the mouth diminution of voice/loss of voice whitish discoloration of skin,,Ayurveda
810,817,EC-5.5,SANNIPATAJAPANDUROGAH,sannipātajapāṇḍurōgaḥ,सन्निपातजपाण्डुरोगः,pāṇḍurōga due to three dōṣa ,,,Ayurveda
811,818,EC-5.6,MRUDBAKSHANAJANYA PANDUROGAH/KRUMIJAPANDUROGAH,mr̥dbhakṣaṇajanya pāṇḍurōgaḥ/kr̥mijapāṇḍurōgaḥ,मृद्भक्षणजन्य पाण्डुरोगः/कृमिजपाण्डुरोगः,pāṇḍurōga due to geophagia ,loss of strength loss of agni (digestive power) loss of normal body colour swelling of malar region supraorbital swelling swelling of eyebrows pedal oedema periumbilical oedema oedema of penis worm infestation in abdomen diarrhoea/altered stools worms in fecal matter oedema of face blood mixed fecal matter mucous mixed fecal matter loss of agni (digestive power) loss of normal body colour swelling of malar region supraorbital swelling swelling of eyebrows pedal oedema periumbilical oedema oedema of penis worm infestation in abdomen diarrhoea/altered stools worms in fecal matter oedema of face blood mixed fecal matter mucous mixed fecal matter,,Ayurveda
812,819,EC-5.7,PANAKI,pānakī,पानकी,pānakī-pāṇḍurōga ,burning sensation passage of unformed (loose) feces yellowish discoloration of internal and external body parts paleness in eyes/disease of eyes,,Ayurveda
813,820,EC-5.8,ASADHYA-PANDUROGAH,asādhya-pāṇḍurōgaḥ,असाध्य-पाण्डुरोगः,incurable pāṇḍurōga ,swollen due to chronicity hardened swelling retained stool/contipation reduced quantity of fecal matter mucous diarrhoea greenish diarrhoea timid or apathy whitish discoloration excessive stickiness of body vomiting syncope/attacks of swooning thirst whitish discoloration of teeth pale nails pallor in eyes sees objects as white swollen extremities with weak/emaciated trunk emaciated/weak extremities with swollen trunk anal oedema scrotal oedema fainting looking as if dead diarrhoea,,Ayurveda
814,821,EC-5.9,PANDU-UPADRAVAH,pāṇḍu-upadravaḥ,पाण्डु-उपद्रवः,complications of pāṇḍurōga ,tastelessness thirst fever headache diminution of agni (digestive power) swelling of throat region lack of strength exhaustion without exertion pressing sensation in the heart region,,Ayurveda
815,822,EC-5.10,PANDU-ARISHTAH,pāṇḍu-ariṣṭaḥ,पाण्डु-अरिष्टः,fatal signs of pāṇḍurōga ,,,Ayurveda
816,823,EC-6,AMAVATAH,āmavātaḥ,आमवातः,rheumatism due to āma ,generalised bodyache tastelessness thirst lethargy heaviness fever indigestion oedema heaviness of heart region weakness stiffness of the whole body,,Ayurveda
817,824,EC-6.1,VATIKA-AMAVATAH,vātika-āmavātaḥ,वातिक-आमवातः,āma vāta due to vāta ,asociated with pain,,Ayurveda
818,825,EC-6.2,PAITTIKA-AMAVATAH,paittika-āmavātaḥ,पैत्तिक-आमवातः,āma vāta due to pitta ,associated with burning sensation redness/congestion,,Ayurveda
819,826,EC-6.3,KAPAJA-AMAVATAH,kaphaja-āmavātaḥ,कफज-आमवातः,āma vāta due to kapha ,feeling as if covered with wet cloth heaviness itching,,Ayurveda
820,827,EC-6.4,ATIVRUDDHA-AMAVATAH,ativr̥ddha-āmavātaḥ,अतिवृद्ध-आमवातः,advanced stage of āma vāta ,pain in joints of hands pain in joints of feet pain in joints of head pain in ankle joint pain in joints of the sacroiliac region pain in knee joint pain in the hip joint swelling in joints of hands swelling in joints of feet swelling in joints of head swelling in ankle joint swelling in joints of the sacroiliac region swelling in knee joint pain in the hip joint pain similar to scorpion bite diminution of agni excessive salivation tastelessness heaviness of body lack of enthusiasm altered taste sensation burning sensation frequent excessive micturition hardness of abdomen colicky pain in the abdomen altered sleep thirst vomiting giddiness or dizziness syncope/attacks of swooning stiffness in cardiac region constipation dullness/frigidity/inactiveness barborygmus/gurgling sound of intestines barborygmus with distention,,Ayurveda
821,828,EC-7,ARUCIH,aruciḥ,अरुचिः,anorexia ,,,Ayurveda
822,829,EC-8,KESAROGAH,kēśarōgaḥ,केशरोगः,hair disorder ,skin disease,,Ayurveda
823,830,ED,RAKTAVAHASROTOVIKARAH,raktavahasrōtōvikāraḥ,रक्तवहस्रोतोविकारः,disorders of raktavahasrōtas ,a dermatological condition characterized by spreading skin lesions papule/eruptions bleeding disorder irregular or excessive menstruation proctitis inflamation of penis stomatitis plīha (spleenomegaly) palpable glandular enlargment in abdomen/abdominal lump abscess blackish patch on any part of the body clinical features of jaundice blackish patch on the face elevated skin patch moles skin disease having circular patches type of skin disease leucoderma scabies wheal like skin eruptions reddish circular patches on skin,,Ayurveda
824,831,ED-1,RAKTAVAHASROTODUSHTIH,raktavahasrōtōduṣṭiḥ,रक्तवहस्रोतोदुष्टिः,derangement of raktavahasrōtas ,,,Ayurveda
825,832,ED-2,SONITAJANYAROGAH,śōṇitajanyarōgaḥ,शोणितजन्यरोगः,diseases due to rakta ,,,Ayurveda
826,836,ED-2.1,VIDAHAH,vidāhaḥ,विदाहः,burning sensation/heart burn ,,,Ayurveda
827,838,ED-2.2,KANDUH,kaṇḍūḥ,कण्डूः,pruritis ,,,Ayurveda
828,842,ED-2.3,KRODHAPRACURATA,krōdhapracuratā,क्रोधप्रचुरता,intense fury ,,,Ayurveda
829,843,ED-2.4,KLAMAH,klamaḥ,क्लमः,fatigue without physical exertion/Sense-fatigue ,,,Ayurveda
830,844,ED-2.5,GURUGATRATA,gurugātratā,गुरुगात्रता,body heaviness ,,,Ayurveda
831,847,ED-2.6,TANDRATIYOGAH,tandrātiyōgaḥ,तन्द्रातियोगः,drowsiness/somnolence ,,,Ayurveda
832,848,ED-2.7,TAMAPRAVESAH/TAMAH-ATIDARSANAM,tamapravēśaḥ/tamaḥ-atidarśanam,तमप्रवेशः/तमः-अतिदर्शनम्,fainting/blackout ,,,Ayurveda
833,850,ED-2.8,NIDRANASAH/ASVAPNAH,nidrānāśaḥ/asvapnaḥ,निद्रानाशः/अस्वप्नः,loss of sleep (insomnia) ,,,Ayurveda
834,851,ED-2.9,PIDAKA,piḍakā,पिडका,eruption ,,,Ayurveda
835,852,ED-2.10,PIPASA,pipāsā,पिपासा,polydipsia due to rakta ,,,Ayurveda
836,854,ED-2.11,PUTIGANDHATA,pūtigandhatā,पूतिगन्धता,feeling putrid smell ,,,Ayurveda
837,855,ED-2.12,PUTIGHRANAGANDHATA,pūtighrāṇagandhatā,पूतिघ्राणगन्धता,stink-nose ,,,Ayurveda
838,857,ED-2.13,PRAMILAKAH,pramīlakaḥ,प्रमीलकः,body heaviness over thinking ,,,Ayurveda
839,858,ED-2.14,BUDDHISAMMOHAH,buddhisaṁmōhaḥ,बुद्धिसंमोहः,misapprehension ,,,Ayurveda
840,863,ED-2.15,LAVANASYATA,lavaṇāsyatā,लवणास्यता,feeling of saline taste ,,,Ayurveda
